round,accuracy,avg_weight,method,drift_frac
20,97.98,0.715,AdaptiveFL_drift30,0.3
21,97.97,0.7297,AdaptiveFL_drift30,0.3
22,97.9,0.7553,AdaptiveFL_drift30,0.3
23,97.88,0.7811,AdaptiveFL_drift30,0.3
24,97.92,0.8018,AdaptiveFL_drift30,0.3
25,97.9,0.8194,AdaptiveFL_drift30,0.3
26,97.87,0.8368,AdaptiveFL_drift30,0.3
27,97.85,0.8488,AdaptiveFL_drift30,0.3
28,97.66,0.8625,AdaptiveFL_drift30,0.3
29,97.75,0.8738,AdaptiveFL_drift30,0.3
30,97.74,0.8821,AdaptiveFL_drift30,0.3
1,93.75,1.0,FedAvg_drift60,0.6
2,95.65,1.0,FedAvg_drift60,0.6
3,96.46,1.0,FedAvg_drift60,0.6
4,96.83,1.0,FedAvg_drift60,0.6
5,97.23,1.0,FedAvg_drift60,0.6
6,97.36,1.0,FedAvg_drift60,0.6
7,97.53,1.0,FedAvg_drift60,0.6
8,97.64,1.0,FedAvg_drift60,0.6
9,97.71,1.0,FedAvg_drift60,0.6
10,97.77,1.0,FedAvg_drift60,0.6
11,90.5,0.43,FedAvg_drift60,0.6
12,96.2,0.43,FedAvg_drift60,0.6
13,96.32,0.43,FedAvg_drift60,0.6
14,96.57,0.43,FedAvg_drift60,0.6
15,96.6,0.43,FedAvg_drift60,0.6
16,96.87,0.43,FedAvg_drift60,0.6
17,96.72,0.43,FedAvg_drift60,0.6
18,96.76,0.43,FedAvg_drift60,0.6
19,96.84,0.43,FedAvg_drift60,0.6
20,96.76,0.4621,FedAvg_drift60,0.6
21,96.7,0.5165,FedAvg_drift60,0.6
22,96.61,0.5612,FedAvg_drift60,0.6
23,96.59,0.5993,FedAvg_drift60,0.6
24,96.68,0.6323,FedAvg_drift60,0.6
25,96.58,0.6582,FedAvg_drift60,0.6
26,96.61,0.6836,FedAvg_drift60,0.6
27,96.49,0.7066,FedAvg_drift60,0.6
28,96.54,0.7253,FedAvg_drift60,0.6
29,96.45,0.744,FedAvg_drift60,0.6
30,96.3,0.7583,FedAvg_drift60,0.6
1,93.94,1.0,AdaptiveFL_drift60,0.6
2,95.72,1.0,AdaptiveFL_drift60,0.6
3,96.41,1.0,AdaptiveFL_drift60,0.6
4,96.99,1.0,AdaptiveFL_drift60,0.6
5,97.28,1.0,AdaptiveFL_drift60,0.6
6,97.35,1.0,AdaptiveFL_drift60,0.6
7,97.5,1.0,AdaptiveFL_drift60,0.6
8,97.66,1.0,AdaptiveFL_drift60,0.6
9,97.72,1.0,AdaptiveFL_drift60,0.6
10,97.76,1.0,AdaptiveFL_drift60,0.6
11,97.82,0.43,AdaptiveFL_drift60,0.6
12,97.71,0.43,AdaptiveFL_drift60,0.6
13,97.86,0.43,AdaptiveFL_drift60,0.6
14,97.86,0.43,AdaptiveFL_drift60,0.6
15,97.81,0.43,AdaptiveFL_drift60,0.6
16,97.88,0.43,AdaptiveFL_drift60,0.6
17,97.83,0.43,AdaptiveFL_drift60,0.6
18,97.82,0.43,AdaptiveFL_drift60,0.6
19,97.83,0.43,AdaptiveFL_drift60,0.6
20,97.85,0.43,AdaptiveFL_drift60,0.6
21,97.69,0.4714,AdaptiveFL_drift60,0.6
22,97.42,0.537,AdaptiveFL_drift60,0.6
23,97.05,0.5944,AdaptiveFL_drift60,0.6
24,97.06,0.6405,AdaptiveFL_drift60,0.6
25,96.96,0.6749,AdaptiveFL_drift60,0.6
26,96.97,0.7004,AdaptiveFL_drift60,0.6
27,96.89,0.7252,AdaptiveFL_drift60,0.6
28,96.81,0.7429,AdaptiveFL_drift60,0.6
29,96.64,0.7619,AdaptiveFL_drift60,0.6
30,96.71,0.7774,AdaptiveFL_drift60,0.6
